itemId,inscriptionNumber,inscriptionId,contentType,output,imageUrl,Background,Body accessory,Eyes,Fur,Head,Mouth,Mouth accessory
194,14771,7d094febce1271c7489c111a2e1990ebc31c4a4a8fff57ec484acd1e46bd381ei0,image/png,6c8d34926d79686ac30e7dec4376edae8be94c5f7f86b2a17818cfdbe66363f1:1,https://cdn.doggy.market/content/7d094febce1271c7489c111a2e1990ebc31c4a4a8fff57ec484acd1e46bd381ei0,Green,Blue collar,Pirate patch,Red,,Smiling,Tongue out
197,14774,60a34da73ca5a3887a7cfe8e5c20bb189371a3964bb6014892e99510f11b5af6i0,image/png,c5e0147efa1fe56f79dda8dd288b40d26d767a1565e34c7c0a8e088988906eb3:1,https://cdn.doggy.market/content/60a34da73ca5a3887a7cfe8e5c20bb189371a3964bb6014892e99510f11b5af6i0,Fire,White hoodie,Happy eyes,Red,Baseball cap blue,Smiling,
217,14794,138f25055ac3f5b21b0820245cc867915f1fd26efd288dca093e4ed94bdf0abci0,image/png,2db966d3e6244cda261c045d7f7ec69f2f573d3833cc019ad90143b47a18341b:1,https://cdn.doggy.market/content/138f25055ac3f5b21b0820245cc867915f1fd26efd288dca093e4ed94bdf0abci0,Blue,Dogecoin,Doge eyes,Sesame,,Smiling,Teeth
224,14801,a220d84147abd14fcf246b0e72a0cdeac81dc25c0f706d37955174cb6e59df99i0,image/png,808f5561e5c360758f41da6692cbd0bd5e0bd050f8e0b37433aca26f92770a38:0,https://cdn.doggy.market/content/a220d84147abd14fcf246b0e72a0cdeac81dc25c0f706d37955174cb6e59df99i0,White,Dogecoin,Doge eyes,Red,Baseball cap blue,Smiling,Blunt
229,14806,be7ad49d5a6df329be056f353411a84b334a279bc948f1f99d46bbbfb77dea87i0,image/png,07f89c317309201a725915d97b2bc9767aa6cf9cd512d2d28199b55a09a83c9f:2,https://cdn.doggy.market/content/be7ad49d5a6df329be056f353411a84b334a279bc948f1f99d46bbbfb77dea87i0,White,Business suit,Doge eyes,Red,,Neutral,Teeth
279,14856,3bac15dd4b632818c5949b48cb6972193ae54d6f6d266c4705e884911968e7d7i0,image/png,81083da43692ae6d7ce6e7daf70dfe1fe4e0e63a5b35e36b3c84089925731cd8:1,https://cdn.doggy.market/content/3bac15dd4b632818c5949b48cb6972193ae54d6f6d266c4705e884911968e7d7i0,Fire,Red spiked collar,Doge eyes,Red,Baseball cap red rev,Smiling,Tongue out
288,14865,29c2e468450ae34333668da4cbcd2a8ad069a3b71f31584dfda01158c2ca125ei0,image/png,51dd41f2e3f0bdb28fef5c815f6d5eac6d5638fbd83ecdab1be29edec5fa8f6e:1,https://cdn.doggy.market/content/29c2e468450ae34333668da4cbcd2a8ad069a3b71f31584dfda01158c2ca125ei0,Red,Red collar,Doge eyes,Red,,Smiling,
304,14881,ce8a08661de230b27e4ca018b320c832dee737ed576a1463af414d07ca2f011bi0,image/png,da4e2254a764695eb163cf554c12c4c3f3d55736a3dbc90bc2c08b5e2f07b68e:1,https://cdn.doggy.market/content/ce8a08661de230b27e4ca018b320c832dee737ed576a1463af414d07ca2f011bi0,Gold,Business suit,Doge eyes,Red,,Short,Cigarette
309,14886,2b82bb4191d802c823fd02c6e3c4d885d051c7055cfe50d039bbed786c239e4ci0,image/png,ebf6485683451788e1532d003f68164d377f88a7520d11561f0d4781319ad099:2,https://cdn.doggy.market/content/2b82bb4191d802c823fd02c6e3c4d885d051c7055cfe50d039bbed786c239e4ci0,White,Brown hoodie,Doge eyes,Red,Hat,Smiling,Rick's drool
322,14899,9e1639d284adacf713149cffefc5e1fc49dea9dacf9ce880cc266194f71cbbe1i0,image/png,7ba20750b98bae02b92a33e32be1dd3cc4b8851459f420334633ba61eb7e9fea:1,https://cdn.doggy.market/content/9e1639d284adacf713149cffefc5e1fc49dea9dacf9ce880cc266194f71cbbe1i0,Green,Red kimono,Thug glasses,Red,Flower,Smiling,
328,14905,1f18a2b54165298d396da6f618320f4844c09da3606ad978788145923fa9d01bi0,image/png,5b03fa748957e4e511b195b9720fe994929cc70a2434fee7d2a7902619636ff3:1,https://cdn.doggy.market/content/1f18a2b54165298d396da6f618320f4844c09da3606ad978788145923fa9d01bi0,White,Business suit,Doge eyes,Black n tan,,Smiling,Open mouth
330,14907,c16352483fae4e74457ec67bd1af0c8e9e772d9b7515cc44e75f35def81c2447i0,image/png,b29ce0fbd3ea2eceefa72098c0c667bdb7d89a6f380b25e8ea32c8a6612df506:0,https://cdn.doggy.market/content/c16352483fae4e74457ec67bd1af0c8e9e772d9b7515cc44e75f35def81c2447i0,Blue,Dogecoin,Happy eyes,Red,,Smiling,Open mouth
332,14909,f86fee5a626c479eab8f466e42dcad3ba398f9b0d024d7f72fb671c9edd206c7i0,image/png,7ba20750b98bae02b92a33e32be1dd3cc4b8851459f420334633ba61eb7e9fea:2,https://cdn.doggy.market/content/f86fee5a626c479eab8f466e42dcad3ba398f9b0d024d7f72fb671c9edd206c7i0,Green,Black spiked collar,Doge eyes,Red,Baseball cap blue,Neutral,Rick's drool
370,14947,1b51d30832e3c308755d717099ecf34c10727f5a93ab33fbe9a98b780cf95649i0,image/png,efce76d25247aed2756d40fc27053f18bb862c051aedb8079c3fb9892aa66a39:1,https://cdn.doggy.market/content/1b51d30832e3c308755d717099ecf34c10727f5a93ab33fbe9a98b780cf95649i0,White,Red kimono,Pirate patch,Red,,Smiling,Tongue out
373,14950,58cbc587125c18c2cde988feebf391eda3bab0baa62501a1f4f14e26f5b45d3ai0,image/png,f74a68943477b78234a1b3905e9c82acbfc576231169560a7e3152b0958d7adf:1,https://cdn.doggy.market/content/58cbc587125c18c2cde988feebf391eda3bab0baa62501a1f4f14e26f5b45d3ai0,Brown,Red spiked collar,3d glasses,Cream,Baseball cap blue,Neutral,Tongue out
381,14958,fa251cc4e26ea17b6ec2889c225ee95962569715f1a70ddaef856389a503c493i0,image/png,11414b35c4afce6e3938489e4c007c76260b8949d324fcadbf2dc5e374522079:1,https://cdn.doggy.market/content/fa251cc4e26ea17b6ec2889c225ee95962569715f1a70ddaef856389a503c493i0,Red,Dogecoin,Doge eyes,Red,,Smiling,
414,14991,06ec1f06b30a4808605506aa8696f4d775e00219d8355c6094f373654ee6d8aci0,image/png,fadfabddd4c4e99cbf189397af290093dee1425a8638a84ebfec446147ef229c:0,https://cdn.doggy.market/content/06ec1f06b30a4808605506aa8696f4d775e00219d8355c6094f373654ee6d8aci0,Blue,Black collar,Happy eyes,Red,Pirate hat,Smiling,Open mouth
